Kapitelnummer,Position im Kapitel,work id,Datum (Korrekturhilfe),Dateipfad (Korrekturhilfe)
,480,work00647,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/048_odilonredon.xml
,490,work01101,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/049_wir.xml
,500,work00454,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/050_ich.xml
,510,work01098,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/051_wildstirbtdersingschullehrer.xml
,520,work00555,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/052_langersommer.xml
,530,work00283,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/053_DiesüßeSprache.xml
,540,work01040,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/054_variationenübereinvorgegebenesthema.xml
,550,work00118,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/055_DasNashorn.xml
,560,work00875,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/056_ohneTitel.xml
,570,work00314,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/057_EinGlücksschwein.xml
,580,work00181,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/058_DerroteSeptember2013.xml
,590,work00065,,/korrigiert/bd1/001_Werke/001_Lyrik/FRBR-Works/059_beginningyounglove.xml
1.2,,,,
,10,work01105,,/korrigiert/bd1/001_Werke/002_Romane/001_wirsindlockvögelbaby.xml
,20,work00599,,/korrigiert/bd1/001_Werke/002_Romane/002_Michael.xml
,30,work00255,,/korrigiert/bd1/001_Werke/002_Romane/003_DieLiebhaberinnen.xml
,40,work00079,,/korrigiert/bd1/001_Werke/002_Romane/004_bukolit.xml
,50,work00211,,/korrigiert/bd1/001_Werke/002_Romane/005_DieAusgesperrten.xml
,60,work00246,,/korrigiert/bd1/001_Werke/002_Romane/006_DieKlavierspielerin.xml
,70,work00657,,/korrigiert/bd1/001_Werke/002_Romane/007_OhWildnisohSchutzvor.xml
,80,work00580,,/korrigiert/bd1/001_Werke/002_Romane/008_Lust.xml
,90,work00243,,/korrigiert/bd1/001_Werke/002_Romane/009_DieKinderderToten.xml
,100,work00428,,/korrigiert/bd1/001_Werke/002_Romane/010_Gier.xml
,110,work00633,,/korrigiert/bd1/001_Werke/002_Romane/011_Neid.xml
1.3,,,,
,10,work00951,,/korrigiert/bd1/001_Werke/003_Kurzprosa/001_Skizzeinrot1964.xml
,20,work00159,,/korrigiert/bd1/001_Werke/003_Kurzprosa/002_DERFREMDEstörenfried.xml
,30,work01034,,/korrigiert/bd1/001_Werke/003_Kurzprosa/003_untergangeinestauche.xml
,40,work00918,,/korrigiert/bd1/001_Werke/003_Kurzprosa/004_rosiedieweissehölle.xml
,50,work00390,,/korrigiert/bd1/001_Werke/003_Kurzprosa/005_fragenzuflipper.xml
,60,work01107,,/korrigiert/bd1/001_Werke/003_Kurzprosa/006_wirsteckeneinanderun.xml
,70,work00873,,/korrigiert/bd1/001_Werke/003_Kurzprosa/007_ohneTitel.xml
,80,work00073,,/korrigiert/bd1/001_Werke/003_Kurzprosa/008_bravozuflipper.xml
,90,work00320,,/korrigiert/bd1/001_Werke/003_Kurzprosa/009_einschöneserlebnismi.xml
,100,work00147,,/korrigiert/bd1/001_Werke/003_Kurzprosa/010_DerbraveFranzistbrav.xml
,110,work00880,,/korrigiert/bd1/001_Werke/003_Kurzprosa/011_paulabeiderrezeption.xml
,120,work00050,,/korrigiert/bd1/001_Werke/003_Kurzprosa/012_AufforderungzurUnfre.xml
,130,work00218,,/korrigiert/bd1/001_Werke/003_Kurzprosa/013_DieBienenkönige.xml
,140,work00366,,/korrigiert/bd1/001_Werke/003_Kurzprosa/014_ErschwerendeUmstände.xml
,150,work00874,,/korrigiert/bd1/001_Werke/003_Kurzprosa/015_ohneTitel.xml
,160,work00111,,/korrigiert/bd1/001_Werke/003_Kurzprosa/016_DasimPrinzipsinnlose.xml
,170,work00069,,/korrigiert/bd1/001_Werke/003_Kurzprosa/017_BildundFrau.xml
,180,work00202,,/korrigiert/bd1/001_Werke/003_Kurzprosa/018_DerWald.xml
,190,work00887,,/korrigiert/bd1/001_Werke/003_Kurzprosa/019_PhallusH.xml
,200,work00063,,/korrigiert/bd1/001_Werke/003_Kurzprosa/020_BegierdeFahrerlaubni.xml
,210,work00062,,/korrigiert/bd1/001_Werke/003_Kurzprosa/021_BegierdeBegleitperso.xml
,220,work00471,,/korrigiert/bd1/001_Werke/003_Kurzprosa/022_ImGrünen.xml
,230,work00313,,/korrigiert/bd1/001_Werke/003_Kurzprosa/023_EinGedichtDieVereini.xml
,240,work00992,,/korrigiert/bd1/001_Werke/003_Kurzprosa/024_TotenaubergGesundhei.xml
,250,work00234,,/korrigiert/bd1/001_Werke/003_Kurzprosa/025_DieFrauundK.xml
,260,work00516,,/korrigiert/bd1/001_Werke/003_Kurzprosa/026_KapitelIIerzähltvond.xml
,270,work01036,,/korrigiert/bd1/001_Werke/003_Kurzprosa/027_UnternehmenDünnerMan.xml
,280,work00282,,/korrigiert/bd1/001_Werke/003_Kurzprosa/028_DieSündenderKinderFo.xml
1.4.1,,,,
,10,work01177,,/korrigiert/bd1/001_Werke/004_Theatertexte/001_Sammelbände/001_Theaterstücke.xml
,20,work01183,,/korrigiert/bd1/001_Werke/004_Theatertexte/001_Sammelbände/002_TheaterstückeWasgesc.xml
,30,work01197,,/korrigiert/bd1/001_Werke/004_Theatertexte/001_Sammelbände/003_SteckenStabundStangl.xml
,40,work01184,,/korrigiert/bd1/001_Werke/004_Theatertexte/001_Sammelbände/004_MachtnichtsEineklein.xml
,50,work01185,,/korrigiert/bd1/001_Werke/004_Theatertexte/001_Sammelbände/005_DasLebewohl3klDramen.xml
,60,work01237,,/korrigiert/bd1/001_Werke/004_Theatertexte/001_Sammelbände/006_IndenAlpenDreiDramen.xml
,70,work01186,,/korrigiert/bd1/001_Werke/004_Theatertexte/001_Sammelbände/007_MachtnichtsEineklein.xml
,80,work01238,,/korrigiert/bd1/001_Werke/004_Theatertexte/001_Sammelbände/008_DerTodunddasMädchenI.xml
,90,work01236,,/korrigiert/bd1/001_Werke/004_Theatertexte/001_Sammelbände/009_Bambiland.xml
,100,work01187,,/korrigiert/bd1/001_Werke/004_Theatertexte/001_Sammelbände/010_DieKontraktedesKaufm.xml
,110,work01188,,/korrigiert/bd1/001_Werke/004_Theatertexte/001_Sammelbände/011_DasschweigendeMädche.xml
,120,work01189,,/korrigiert/bd1/001_Werke/004_Theatertexte/001_Sammelbände/012_DieSchutzbefohlenenW.xml
,130,work01178,,/korrigiert/bd1/001_Werke/004_Theatertexte/001_Sammelbände/013_SchwarzwasserAmKönig.xml
1.4.2,,,,
,1,work00920,2002,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/001_rotw%C3%A4sche.xml
,2,work01071,1979,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/002_WasgeschahnachdemNoraihrenMannverlassenhatteoderSt%C3%BCtzenderGesellschaften.xml
,3,work00625,22.10.2013,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/003_ZusatzNachNora.xml
,4,work00088,1981,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/004_ClaraS.xml
,5,work00083,1982,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/005_Burgtheater.xml
,6,work00547,1984,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/006_KrankheitoderModerneFrauen.xml
,7,work00889,1988,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/007_PräsidentAbendwind.xml
,8,work00203,1987,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/008_DerWaldTheatertext.xml
,9,work01111,1988,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/009_WolkenHeim.xml
,10,work01239,2004,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/010_ZusatzUnddannnachHause.xml
,11,work00991,1991,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/011_Totenauberg.xml
,12,work00900,1994,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/012_RaststätteoderSiemachensalle.xml
,13,work00966,1995,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/013_SteckenStabundStangl.xml
,14,work00321,1998,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/014_EinSportstück.xml
,15,work00363,1998,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/015_ernichtalser.xml
,16,work00123,2000,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/016_DasSchweigen.xml
,17,work00462,2000,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/017_IchliebeÖsterreich.xml
,18,work00113,2000,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/018_DasLebewohl.xml
,19,work00112,26.4.2016,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/019_ZusatzDasKommen.xml
,20,work00581,2006,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/020_Machtnichts.xml
,21,work00205,1999,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/021_DerWanderer.xml
,22,work00361,1999,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/022_Erlkönigin.xml
,23,work00546,2002,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/023_KörperundFrau.xml
,24,work00484,2002,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/024_IndenAlpen.xml
,25,work00192,Kein Datum!,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/025_DerTodunddasMädchenIbisV.xml
,26,work00193,1999,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/026_DerTodunddasMädchenI.xml
,27,work00194,Kein Datum!,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/027_DerTodunddasMädchenII.xml
,28,work00196,2001,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/028_DerTodunddasMädchenIII.xml
,29,work00198,2003,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/029_DerTodunddasMädchenV.xml
,30,work00197,2003,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/030_DerTodunddasMädchenIV.xml
,31,work00132,2002,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/031_DasWerk.xml
,32,work00059,2.4.2003 / 5.4.2003 / 5.5.2004,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/032_Bambiland.xml
,33,work00494,2004,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/033_IrmsagtMargitsagt.xml
,34,work00056,2004,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/034_Babel.xml
,35,work00879,13.2.2006,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/035_ParsifalLaßoWeltoSchrecklaßnach.xml
,36,work00020,Kein Datum!,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/036_AmAbflußdesWörtersees.xml
,37,work01010,27.2.2006,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/037_UlrikeMariaStuart.xml
,38,work01006,2006,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/038_ÜberTiere.xml
,39,work00511,,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/039_ZusatzJetztduerfendieMenschen.xml
,40,work01026,Kein Datum!,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/040_UnsbleibtnurderStrafrahmen.xml
,41,work00904,2009,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/041_RechnitzDerWürgeengel.xml
,42,work00253,2009,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/042_DieKontraktedesKaufmanns.xml
,43,work01315,,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/043_ZusatzDieKontrakteEpilog.xml
,44,work00929,,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/044_ZusatzSchlechteNachrede.xml
,45,work00005,,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/045_ZusatzAbersicher.xml
,46,work00482,,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/046_ZusatzImWettbewerb.xml
,47,work01068,,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/047_ZusatzWarnunganGriechenland.xml
,48,work00352,,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/048_ZusatzEngland.xml
,49,work00990,3.3.2009 / 21.8.2010,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/049_TodkrankDoc.xml
,50,work00006,4.10.2009,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/050_Abraumhalde.xml
,51,work01129,2010,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/051_Zündholz.xml
,52,work00322,2010,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/052_EinSturz.xml
,53,work01100,2011,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/053_Winterreise.xml
,54,work00526,2011,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/054_KeinLicht.xml
,55,work00353,,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/055_ZusatzEpilog.xml
,56,work00527,,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/056_ZusatzProlog.xml
,57,work00379,29.4.2011 / 8.5.2012,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/057_FaustInandout.xml
,58,work00928,2012,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/058_SchattenEurydikesagt.xml
,59,work00912,2013,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/059_ReinGold.xml
,60,work00279,3.11.2012,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/060_DieStraßeDieStadtDerÜberfall.xml
,61,work00266,1.8.2013,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/061_DieSchutzbefohlenen.xml
,62,work00268,,/korrigiert/bd1/001_Werke/004_Theatertexte/FRBR-Works/062_ZusatzAppendix.xml
